id,order_id,product_id,quantity
287,111,2,2
288,112,3,2
289,113,9,1
290,113,7,1
291,113,4,2
292,113,6,1
293,114,1,2
294,114,9,2
295,114,4,2
296,114,2,2
297,115,1,2
298,115,2,3
299,116,3,1
300,116,1,2
301,116,8,3
302,117,12,2
303,117,8,3
304,118,2,1
305,119,4,1
306,119,9,3
307,119,10,3
308,120,2,2
309,120,4,2
310,120,2,1
311,120,4,2
312,121,2,1
313,121,8,3
314,121,9,1
315,121,11,3
316,122,12,1
317,122,5,2
318,123,10,2
319,124,10,2
320,124,3,3
321,125,9,2
322,126,9,3
323,127,7,2
324,128,11,2
325,129,5,3
326,129,1,2
327,129,2,2
328,130,12,3
329,130,11,1
330,131,3,1
331,131,6,3
332,131,6,3
333,132,11,2
334,132,12,2
335,133,3,1
336,133,12,2
337,134,5,1
338,135,4,1
339,136,5,3
340,136,7,3
341,136,8,2
342,137,11,1
343,138,6,1
344,138,11,2
345,138,5,1
346,139,7,2
347,139,12,2
348,139,7,2
349,140,8,3
350,140,8,2
351,141,2,3
352,141,7,1
353,141,7,3
354,142,9,2
355,142,6,1
356,143,6,3
357,144,5,2
358,144,10,3
359,144,7,1
360,145,6,2
361,145,1,3
362,145,6,3
363,145,7,2
364,146,2,3
365,147,6,3
366,147,12,3
367,147,3,1
368,147,3,3
369,148,1,1
370,148,2,1
371,148,11,2
372,148,6,2
373,149,10,1
374,150,6,2
375,150,8,1
376,150,10,1
377,150,9,2
378,151,6,3
379,151,5,1
380,151,2,1
381,151,12,1
382,152,9,2
383,152,9,1
384,152,5,2
385,152,12,2
386,153,10,2
387,153,12,2
388,154,2,1
389,154,2,2
390,155,12,2
391,155,2,3
392,156,11,2
393,156,12,1
394,156,9,3
395,157,5,1
396,157,12,3
397,157,12,3
398,158,6,3
399,158,4,1
400,159,3,1
401,159,8,1
402,160,9,3
403,160,6,2
404,160,9,1
405,161,2,2
406,162,12,3
407,162,8,3
408,162,7,2
409,162,10,1
410,163,6,3
411,163,2,2
412,164,11,3
413,164,6,1
414,164,9,3
415,164,10,1
416,165,7,3
417,165,1,1
418,166,5,1
419,166,3,2
420,167,6,3
421,167,5,1
422,168,4,3
423,168,9,2
424,168,3,3
425,169,10,3
426,169,2,3
427,169,11,1
428,170,3,3
429,170,10,3
430,171,10,1
431,171,1,1
432,171,1,3
433,172,11,1
434,172,10,2
435,172,10,3
436,173,8,3
437,174,11,2
438,174,8,1
439,174,11,2
440,175,8,1
441,175,12,1
442,175,3,2
443,176,8,2
444,176,4,2
445,176,10,1
446,176,6,3
447,177,12,2
448,177,7,1
449,177,6,3
450,178,6,1
451,179,2,2
452,179,8,1
453,179,3,1
454,179,1,2
455,180,10,2
456,180,4,1
457,180,6,3
458,180,12,2
459,181,3,2
460,181,9,2
461,182,5,2
462,182,1,1
463,182,7,3
464,182,8,1
465,183,10,2
466,183,1,1
467,184,8,3
468,184,11,3
469,184,8,2
470,185,2,2
471,186,5,3
472,186,6,2
473,187,1,2
474,187,1,3
475,187,9,1
476,188,9,2
477,188,2,2
478,188,9,2
479,189,10,3
480,189,10,1
481,189,3,1
482,190,6,2
483,190,9,2
484,190,3,1
485,190,10,3
486,191,9,1
487,191,1,1
488,191,3,3
489,191,6,2
490,192,3,3
491,192,9,1
492,192,6,3
493,192,6,1
494,193,10,3
495,193,5,3
496,193,6,3
497,193,9,3
498,194,12,3
499,194,5,2
500,194,1,2
501,194,6,3
502,195,7,3
503,196,12,3
504,196,11,1
505,196,10,2
506,197,11,3
507,197,10,1
508,197,12,1
509,198,3,3
510,198,11,3
511,198,10,2
512,198,3,3
513,199,1,3
514,199,12,1
515,200,1,2
516,200,6,2
517,201,7,3
518,201,4,2
519,202,12,3
520,202,1,3
521,202,3,3
522,202,4,3
523,203,11,2
524,203,9,2
525,203,6,1
526,204,9,2
527,204,9,2
528,204,11,3
529,204,11,3
530,205,10,2
531,205,4,1
532,205,5,3
533,206,4,2
534,206,5,3
535,206,4,3
536,207,6,2
537,207,6,3
538,207,12,2
539,207,5,1
540,208,7,2
541,208,3,2
542,208,1,2
543,208,12,1
544,209,8,3
545,209,5,3
546,209,8,1
547,210,9,2
548,210,9,3
549,211,3,1
550,211,10,3
551,211,10,1
552,212,1,3
553,212,9,1
554,213,1,1
555,213,7,2
556,214,2,3
557,214,3,1
558,214,9,1
559,214,7,3
560,215,8,3
561,215,4,2
562,215,6,2
563,215,11,1
564,216,11,3
565,217,9,3
566,217,12,1
567,218,7,1
568,218,1,2
569,219,3,3
570,219,5,1
571,219,1,2
572,219,10,3
573,220,6,2
574,221,11,3
575,221,9,2
576,221,3,3
577,221,8,2
578,222,2,2
579,222,3,3
580,223,11,2
581,223,12,1
582,223,1,3
583,223,6,2
584,224,3,3
585,224,11,2
586,225,9,2
587,225,2,2
588,225,11,1
589,225,3,1
590,226,6,1
591,226,1,2
592,226,7,1
593,226,8,2
594,227,5,3
595,227,12,3
596,227,1,2
597,228,12,1
598,228,1,3
599,228,2,2
600,229,3,2
601,229,11,3
602,229,12,2
603,230,11,2
604,231,10,1
605,231,4,1
606,231,8,1
607,232,12,3
608,232,6,2
609,232,12,3
610,232,8,3
611,233,4,3
612,233,10,1
613,234,9,3
614,234,6,1
615,234,10,1
616,234,1,3
617,235,10,3
618,235,3,1
619,236,9,2
620,236,2,3
621,236,4,3
622,237,2,3
623,237,8,1
624,237,8,1
625,237,9,2
626,238,10,1
627,238,9,2
628,238,11,2
629,238,12,1
630,239,5,1
631,239,12,1
632,239,10,1
633,239,1,2
634,240,12,1
635,240,9,1
636,240,2,2
637,241,5,2
638,242,3,3
639,242,12,3
640,243,6,2
641,243,8,2
642,243,7,1
643,243,11,3
644,244,11,2
645,244,2,1
646,245,9,1
647,245,12,1
648,245,1,1
649,245,5,2
650,246,9,2
651,246,4,1
652,246,8,2
653,246,3,2
654,247,12,1
655,247,1,3
656,248,10,1
657,248,4,1
658,248,2,1
659,248,10,1
660,249,10,3
661,249,12,1
662,249,4,3
663,249,1,2
664,250,4,3
665,250,4,1
666,250,3,3
667,250,5,1
668,251,10,3
669,251,11,2
670,251,4,2
671,252,11,3
672,252,4,2
673,253,5,1
674,253,9,3
675,253,12,1
676,254,9,2
677,254,1,2
678,254,11,3
679,254,7,3
680,255,12,2
681,255,7,1
682,255,5,2
683,256,9,2
684,256,4,1
685,257,12,1
686,257,8,1
687,257,9,2
688,258,9,3
689,258,3,2
690,258,4,2
691,258,4,2
692,259,8,2
693,260,9,3
694,261,1,2
695,261,7,3
696,262,2,1
697,263,8,1
698,263,6,2
699,264,4,1
700,265,12,2
701,266,12,3
702,266,12,1
703,267,4,3
704,267,6,2
705,267,7,2
706,267,9,3
707,268,5,2
708,268,6,3
709,268,8,2
710,269,12,2
711,270,4,2
712,270,6,2
713,270,1,3
714,271,12,1
715,271,1,2
716,272,5,1
717,272,4,2
718,272,4,2
719,272,10,1
720,273,9,3
721,273,11,2
722,273,5,2
723,273,12,3
724,274,8,1
725,274,12,2
726,274,3,1
727,274,12,3
728,275,3,3
729,275,11,1
730,275,9,1
731,275,2,3
732,276,1,2
733,277,11,1
734,277,2,3
735,278,1,1
736,278,9,2
737,279,1,3
738,279,11,3
739,279,10,2
740,280,1,1
741,280,9,3
742,280,7,1
743,280,1,3
744,281,9,2
745,281,1,3
746,281,12,3
747,282,3,1
748,282,2,3
749,282,3,1
750,282,4,3
751,283,6,2
752,283,7,1
753,283,6,2
754,284,10,1
755,284,12,1
756,284,5,3
757,284,2,3
758,285,2,2
759,286,7,3
760,286,8,1
761,286,11,1
762,286,12,1
763,287,8,2
764,288,10,1
765,288,9,1
766,288,4,1
767,289,5,1
768,289,2,3
769,289,5,3
770,289,10,3
771,290,3,2
772,291,4,3
773,292,12,2
774,292,2,2
775,293,10,1
776,293,10,2
777,294,7,3
778,294,3,3
779,294,12,1
780,295,1,1
781,295,7,1
782,295,2,2
783,296,6,1
784,296,11,2
785,296,8,2
786,296,4,2
787,297,7,1
788,297,11,3
789,297,11,2
790,297,2,3
791,298,4,3
792,298,2,1
793,298,5,1
794,299,12,3
795,299,3,3
796,299,7,2
797,299,6,1
798,300,1,2
