id,user_id,order_date,status
224,22,2023-07-18,returned
225,96,2024-06-08,completed
226,57,2024-04-07,shipped
227,89,2023-07-14,placed
228,52,2024-05-24,returned
229,70,2024-01-15,shipped
230,11,2024-01-14,shipped
231,95,2023-06-17,returned
232,33,2023-08-08,completed
233,30,2024-09-14,returned
234,3,2024-04-29,returned
235,6,2023-07-29,shipped
236,67,2024-05-18,completed
237,24,2024-09-17,shipped
238,82,2024-03-09,completed
239,61,2023-10-30,shipped
240,43,2023-08-10,placed
241,14,2023-05-11,completed
242,53,2024-10-06,completed
243,85,2023-09-19,returned
244,5,2023-09-06,completed
245,41,2023-08-31,completed
246,15,2024-01-26,returned
247,1,2024-10-19,shipped
248,53,2024-02-23,completed
249,67,2024-04-07,returned
250,97,2024-09-04,placed
251,57,2024-03-01,completed
252,35,2024-01-26,completed
253,37,2023-12-27,placed
254,63,2024-03-28,completed
255,81,2023-06-21,placed
256,21,2023-07-03,returned
257,2,2024-02-02,shipped
258,12,2023-09-16,completed
259,60,2023-08-07,placed
260,20,2024-07-05,placed
261,38,2024-10-04,placed
262,35,2023-11-18,shipped
263,61,2023-09-06,shipped
264,71,2023-09-06,shipped
265,25,2024-03-26,placed
266,18,2023-03-18,completed
267,99,2023-11-21,completed
268,65,2023-08-10,completed
269,37,2023-10-16,returned
270,75,2023-10-13,completed
271,58,2024-08-05,shipped
272,45,2023-07-23,returned
273,98,2023-12-25,shipped
274,59,2023-06-24,completed
275,90,2023-06-23,returned
276,50,2023-06-27,shipped
277,6,2023-10-10,placed
278,61,2023-11-16,shipped
279,85,2023-05-14,shipped
280,5,2023-03-22,returned
281,76,2023-07-26,completed
282,57,2024-03-26,returned
283,59,2023-01-18,placed
284,19,2024-06-15,placed
285,20,2023-12-01,shipped
286,34,2023-10-10,returned
287,89,2023-08-31,placed
288,11,2024-06-10,placed
289,69,2024-04-04,completed
290,81,2023-10-26,returned
291,5,2023-02-21,completed
292,81,2023-07-16,completed
293,96,2023-10-07,shipped
294,13,2024-03-18,shipped
295,22,2023-07-14,completed
296,6,2023-10-14,completed
297,38,2024-07-19,completed
298,56,2023-09-24,completed
299,68,2024-02-20,returned
300,88,2023-08-24,completed
